Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.07,0.48,0.07,-0.5,18.53,-4.21
-0.14,0.49,0.02,-2.48,25.76,-4.72
-0.15,0.53,0.02,-1.97,35.77,-7.4
-0.13,0.56,0.04,0.29,37.36,-13.78
-0.13,0.68,0.06,0.6,30.92,-27.86
-0.12,0.87,0.07,0.53,24.19,-37.17
-0.16,1.08,0.12,-3.92,13.31,-44.21
-0.18,1.26,0.17,-11.31,5.27,-43.8
-0.14,1.4,0.18,-17.89,3.3,-23.21
-0.03,1.47,0.17,-20.17,2.02,3.8
0.03,1.48,0.12,-15.09,3.73,19.36
0.01,1.48,0.04,-4.51,4.12,16.79
0.01,1.47,0.04,8.35,-0.6,6.21
0.00,1.43,-0.03,16.77,-2.43,-1.05
0.06,1.36,-0.04,18.66,-5.27,0.21
0.09,1.31,-0.01,17.51,-10.85,3.2
0.07,1.26,-0.05,10.73,-15.03,3.34
0.03,1.18,0,3.29,-18.01,3.71
-0.03,1.12,0,-2.89,-19.98,0.27
-0.07,1.05,0,-5.92,-18.42,-5.19
-0.07,0.95,0.03,-6.13,-16.1,-7.56
-0.09,0.88,0.04,-5.5,-12.84,-8.36
-0.12,0.81,0.03,-4.81,-8.48,-8.54
-0.13,0.72,0.06,-5.11,-6.66,-10.07
-0.13,0.66,0.05,-6.82,-6.94,-11.05
-0.14,0.58,0.03,-8.75,-9.63,-11.67
-0.17,0.5,0.05,-11.32,-17.18,-9.98
-0.16,0.47,0.09,-14.62,-23.95,-7.79
-0.16,0.46,0.1,-18.21,-31.18,-3.59
-0.12,0.54,0.14,-19.5,-34.17,1.85
-0.09,0.64,0.16,-16.64,-29.36,1.91
0.00,0.76,0.16,-13.23,-22.6,-1.27
-0.01,0.93,0.13,-5.44,-11.55,7.65
-0.04,1.08,0.09,1.01,1.86,0.99
0.05,1.25,0.07,4.4,10.7,-0.84
0.13,1.4,0.13,5.26,10.66,0.16
0.13,1.52,0.09,3.21,10.47,-0.73
0.13,1.56,0.15,-2.27,9.66,-4.1
0.14,1.54,0.22,-12.21,8.25,-1.45
0.12,1.53,0.24,-17.5,5.73,2.34
0.09,1.46,0.3,-20.89,9.4,5.63
0.02,1.38,0.36,-18.92,10.15,0.29
-0.04,1.29,0.31,-13.89,10.86,-4.41
-0.05,1.2,0.27,-5.97,10.52,-7.61
-0.05,1.09,0.19,1.24,12.47,-11.78
-0.03,1.01,0.18,8.93,11.4,-14.15
-0.03,0.92,0.12,12.97,10.54,-14.13
-0.04,0.8,0.12,13.44,9.23,-9.9
-0.05,0.7,0.07,12.58,6.94,-4.6
-0.07,0.63,0.03,9.99,6.04,1.41
-0.06,0.58,0.09,5.48,3.97,8.11
-0.04,0.54,0.07,2.12,6.97,14.37
-0.03,0.52,0.08,1.38,12.95,19.85
-0.03,0.48,0.09,4.64,18.59,24.41
-0.07,0.43,0.09,7.46,21.79,27.18
-0.15,0.41,0.08,10.46,23.15,21.4
-0.20,0.45,0.1,10.23,22.84,9.32
-0.25,0.58,0.1,7.43,21.08,-6.05
-0.28,0.79,0.04,1.97,23.44,-13.32
-0.24,0.99,0.07,-9.24,20.89,-11.98
-0.18,1.17,0.06,-19.04,16.82,-4.69
-0.11,1.36,0.07,-23.82,10.93,2.59
-0.03,1.56,0.1,-20.38,2.91,5.05
-0.07,1.62,0.06,-13.79,1.33,0.76
-0.09,1.71,0.07,-5.5,-1.19,-10.81
0.00,1.68,0.01,4.95,-0.6,-8.82
0.05,1.6,0,14.44,-0.26,7.32
0.04,1.49,0,17.52,-3.71,17.94
0.01,1.38,0.01,16.6,-4.31,26.56
-0.02,1.3,0.02,13.47,-4.27,28.81
-0.05,1.2,0.02,10.53,-5.58,23.12
-0.05,1.05,0.03,9.08,-9.51,14.37
-0.07,0.95,0.03,7.02,-7.59,7.95
-0.08,0.83,0.04,1.85,-2.36,3.21
-0.06,0.73,0.03,-2.82,1.04,0.68
-0.05,0.66,0.02,-8.51,2.21,2.76
-0.06,0.59,0.02,-11.84,1.52,6.03
-0.07,0.51,0.04,-14.08,-2.21,8.07
-0.10,0.45,0.04,-14.91,-4.6,9.18
-0.13,0.42,0.06,-15.4,-7.22,6.79
-0.14,0.4,0.03,-15.31,-9.06,5.87
-0.12,0.41,0.06,-15.56,-10.56,3.9
-0.10,0.52,0.04,-14.5,-10.52,1.08
-0.06,0.7,0.05,-8.55,-7.45,-0.63
-0.03,0.9,0.08,-1.78,0.24,-4.46
-0.04,1.11,0.1,6.94,4.37,-20.48
0.03,1.32,0.18,8.34,24.39,-18.52
0.17,1.52,0.22,6.34,33.32,-9.48
0.22,1.55,0.22,3.76,33.38,4.56
0.16,1.51,0.19,1.65,30.17,8.95
0.09,1.5,0.21,-0.73,23.31,11.53
0.06,1.45,0.25,-2.53,14.99,10.29
0.05,1.42,0.27,-3.26,13.82,12.34
0.08,1.36,0.32,-3.77,12.27,11.86
0.09,1.32,0.3,-4.16,12.82,9.67
0.01,1.24,0.31,-3.6,14.21,8.2
0.01,1.17,0.28,-2.43,13.1,11.75
0.00,1.07,0.17,-0.38,14.43,13.5
0.01,1,0.2,1.92,9.76,13.99
0.00,0.9,0.2,1.52,4.79,14.76
-0.03,0.78,0.16,0.44,0.4,15.24
-0.04,0.67,0.16,-0.75,-4.02,16.47
-0.03,0.59,0.14,-1.69,-8.27,15.69
0.00,0.54,0.12,-1.27,-7.44,17.76
-0.01,0.52,0.12,-0.01,-6.69,18.36
-0.01,0.49,0.15,-0.05,-5.02,17.07
-0.03,0.48,0.17,-1.23,-0.22,15.98
-0.05,0.5,0.16,-3.44,-0.19,12.2
-0.08,0.56,0.14,-4.64,-1.31,2.27
-0.09,0.7,0.11,-4.45,-4.01,-11.66
-0.10,0.79,0.06,-4.07,-6.05,-17.22
-0.12,0.92,0.01,-3.15,-7.46,-18.33
-0.09,1.08,-0.02,-1.33,-10.06,-12.25
-0.03,1.22,0.02,-1.27,-16.82,-5.08
0.08,1.38,0.03,-2.19,-23.18,-1.73
0.05,1.55,-0.01,-7.25,-23.82,-8.2
0.01,1.71,-0.05,-12.35,-18.63,-18
0.04,1.78,-0.1,-7.86,-10.89,-14.3
0.09,1.63,-0.07,1.85,-8.76,1.91
0.11,1.48,-0.06,8.05,-8.08,16.34
0.09,1.36,-0.05,8.37,-1.27,23.44
0.05,1.28,-0.04,7.56,4.66,21.81
0.04,1.15,-0.03,8.92,8.26,15
0.01,1.04,-0.02,9.15,12.11,7.56
-0.02,0.94,-0.03,8.33,14.45,2.11
-0.04,0.83,-0.04,6.68,15.63,-2.19
-0.05,0.76,-0.04,3.45,14.21,-4.37
-0.05,0.7,-0.06,1.23,15.18,-6.14
-0.06,0.67,-0.03,-0.37,16.18,-8.15
-0.04,0.64,-0.01,-1.23,19.16,-6.15
-0.08,0.61,0.02,-0.81,19.25,-3.02
-0.13,0.53,0.04,-0.62,19.26,-3.76
-0.13,0.48,0.07,-1.92,18.38,-7.66
-0.11,0.5,0.12,-3.44,13.6,-6.56
-0.10,0.55,0.16,-6.96,10.04,-2.06
-0.08,0.67,0.22,-6.81,4.05,-2.13
-0.06,0.77,0.22,-5.04,8.58,5.82
-0.04,0.93,0.26,-3.69,8.59,2.85
0.01,1.11,0.29,-0.28,16,4.21
0.08,1.29,0.28,2.19,24.01,4.91
0.11,1.42,0.23,7.18,25.26,2.75
0.16,1.41,0.22,9.83,14.63,2.86
0.17,1.42,0.21,10.34,0.18,2.63
0.17,1.43,0.24,7.28,-9.66,2.21
0.17,1.44,0.25,1.89,-13.56,-0.37
0.15,1.42,0.26,-4.26,-14.88,-2.11
0.13,1.37,0.28,-10.76,-10.66,-0.18
0.10,1.3,0.27,-13.28,-8.11,4.58
0.06,1.21,0.26,-15.07,-4.5,6.86
0.02,1.14,0.22,-11.92,-1.87,1.18
0.00,1.06,0.2,-7.18,-1.28,-3.31
-0.02,0.96,0.16,-3.23,-0.32,-2.23
-0.03,0.84,0.12,-1.05,-0.34,-5.11
-0.01,0.74,0.13,1.6,-1.69,-4.01
-0.02,0.64,0.12,3.29,-2.4,-7.11
0.00,0.55,0.04,3.21,-0.43,-9.15
0.01,0.5,0.1,2.12,1.31,-9.55
0.01,0.52,0.12,-1.26,4.9,-6.09
-0.01,0.54,0.08,-5.41,13.06,2.53
-0.02,0.55,0.11,-8.57,17.33,8.85
-0.01,0.56,0.08,-8.79,21.18,14.15
-0.02,0.59,0.08,-7.89,20.72,15.36
-0.05,0.71,0.07,-7.6,17.17,11.76
-0.08,0.85,0.03,-9.9,15.27,2.11
-0.11,1,0.05,-13.39,11.05,-2.06
-0.09,1.18,0.07,-16.99,6.15,-1.82
-0.03,1.36,0.07,-17.95,2.51,5.69
0.05,1.41,0.07,-16.37,-2.3,16.32
0.04,1.44,0.07,-13.81,-4.44,20.18
0.02,1.5,0.07,-10.27,-8.2,17.6
0.02,1.52,0.06,-7.22,-9.88,9.37
0.03,1.54,0.01,-3.11,-5.81,2.23
0.07,1.47,0,3.82,-0.82,5.95
0.06,1.4,-0.03,8.77,1.11,7.84
0.05,1.32,-0.01,10.21,2.84,8.79
0.04,1.24,0,10.24,4.08,4.79
0.02,1.17,0.03,8.93,5.49,-0.72
0.00,1.08,0.03,8.45,5.11,-5.29
-0.02,0.96,0.05,7.76,3.18,-8.05
-0.04,0.85,0.05,6.93,2.44,-12.15
-0.05,0.72,0.06,5.44,2.18,-16.7
-0.06,0.63,0.08,3.38,3.89,-17.15
-0.06,0.57,0.1,1.87,5.79,-14.7
-0.07,0.5,0.07,1.6,3.76,-11.75
-0.09,0.43,0.05,3,0.43,-11.96
-0.07,0.39,0.08,2.84,-5.05,-9.76
-0.03,0.39,0.08,-0.45,-9.39,-6.02
-0.01,0.44,0.09,-4.29,-12.79,-2.59
-0.01,0.59,0.19,-10.95,-15.47,-5.98
-0.01,0.71,0.15,-13.21,2.24,-1.85
-0.03,0.92,0.13,-11.98,7.65,-4.52
0.05,1.17,0.12,-7.34,19.22,1.57
0.09,1.36,0.1,2.62,25.46,5.08
0.12,1.46,0.14,12.56,20.79,10.11
0.15,1.43,0.25,14.69,13.59,13.31
0.15,1.41,0.28,8.85,6.53,13.86
0.14,1.39,0.3,3.5,3.5,10.13
0.14,1.39,0.33,-1.54,0.3,7.6
0.13,1.34,0.31,-4.94,-2.13,2.62
0.13,1.37,0.29,-5.08,-5.51,-2.12
0.12,1.39,0.26,-3.21,-6.31,-5.4
0.08,1.36,0.24,-0.33,-7.11,-9.96
0.07,1.3,0.22,3.32,-9.12,-9.85
0.05,1.22,0.18,5.82,-11.55,-6.78
0.04,1.1,0.16,6.88,-12.44,-2
0.00,0.96,0.13,6.92,-12.95,-1.92
-0.02,0.83,0.12,5.72,-12.16,-2.14
-0.03,0.7,0.11,1.78,-8.83,-2.31
-0.04,0.59,0.1,-1.86,-4.47,-1.98
-0.04,0.51,0.11,-6.05,0.37,-0.05
-0.03,0.47,0.11,-9.98,5.48,1.31
0.00,0.44,0.14,-11.86,13.76,3.79
0.01,0.39,0.12,-12.26,20.92,7.76
0.00,0.4,0.08,-11.67,25.09,13.34
-0.05,0.41,0.02,-9.69,24.85,13.46
-0.11,0.45,0.04,-7.53,22.36,9.65
-0.18,0.56,0.03,-8.04,19.66,-3.54
-0.18,0.74,0.05,-10.98,16.91,-15.1
-0.12,0.97,0.08,-16.5,11.94,-21.69
-0.04,1.27,0.08,-23.93,6.4,-20.98
0.05,1.57,0.08,-25.84,-0.69,-13.16
0.00,1.82,-0.01,-22.61,-1.17,-7.27
0.01,1.87,0.02,-13.47,-3.61,-3.17
-0.01,1.84,-0.03,-4.41,-1.69,5.4
0.07,1.74,-0.02,8.15,3.17,4.67
0.08,1.58,-0.04,18.49,1.81,8.05
0.09,1.49,-0.01,21.17,-0.02,16.01
0.09,1.41,0,21.89,-1.73,18.52
0.06,1.33,0.03,22.69,-0.57,12.6
0.03,1.23,0.05,21.34,-1.75,2.51
-0.02,1.1,0.06,18.22,-3.08,-3.4
-0.03,0.97,0.06,14.44,-3.98,-4.48
-0.03,0.84,0.05,11.11,-3.45,-1.93
-0.04,0.74,0.04,8.08,-0.44,3.4
-0.03,0.62,0.08,6.19,0.98,8.5
-0.03,0.51,0.08,4.72,0.07,13.03
-0.05,0.4,0.12,3.44,-1.84,14.23
-0.09,0.31,0.11,1.1,-4.76,12.41
-0.13,0.23,0.14,-3.85,-11.65,8.47
-0.11,0.24,0.18,-8.43,-21.16,4.02
-0.12,0.32,0.19,-12.39,-24.94,4.02
-0.11,0.49,0.2,-11.88,-28.31,3.55
-0.10,0.68,0.18,-6.67,-28.85,1.89
-0.10,0.88,0.23,-1.76,-24.78,-2.06
-0.06,1.04,0.23,-1.92,-14.56,-2.05
-0.02,1.37,0.16,0.33,-10.98,-11.31
0.07,1.5,0.2,0.96,-0.56,3.74
0.13,1.55,0.15,6.17,-4.05,9.27
0.19,1.51,0.2,4.23,-12.44,15.99
0.15,1.46,0.21,-2.1,-13.47,15.65
0.13,1.45,0.22,-4.18,-13.64,11.3
0.12,1.42,0.2,-2.63,-13.12,-2.24
0.14,1.4,0.2,-0.41,-10.24,-10.46
0.12,1.38,0.21,0.39,-7.64,-10.7
0.10,1.34,0.19,-0.66,-1.91,-0.98
0.05,1.25,0.2,-0.45,-2.15,0.93
0.03,1.14,0.18,0.23,-1.38,1.27
0.02,1.01,0.15,0.79,-0.57,2.18
0.00,0.87,0.15,0.63,0.42,1.09
-0.02,0.74,0.13,1.02,2.66,1.13
-0.05,0.62,0.11,0.93,6.39,0.78
-0.03,0.52,0.1,0.73,9.44,1.76
-0.05,0.46,0.08,0.34,11.57,1.09
-0.04,0.44,0.09,0.24,13.82,0.5
-0.03,0.44,0.08,-0.11,16.88,0.63
-0.02,0.44,0.07,-0.81,20.85,3.98
-0.04,0.44,0.04,0.15,24.76,11.79
-0.06,0.45,0.04,3.31,26.7,20.77
-0.08,0.52,0.03,7.75,28.19,21.64
-0.10,0.63,0.05,8.15,29.95,7.47
-0.14,0.83,0.04,2.85,29.76,-6.39
-0.12,1.05,0.05,-6.53,29.63,-16.11
-0.02,1.34,0.04,-14.88,29.76,-17.63
0.13,1.62,0.05,-17.84,23.17,-14.9
0.14,1.78,0.02,-14.66,16.02,-15.67
0.07,1.76,0,-10.26,12.98,-9.21
0.00,1.74,0,-7.06,9.6,-10.04
0.06,1.68,-0.02,-2.66,7.29,-8.56
0.12,1.59,0,7.13,6.76,4.16
0.13,1.51,-0.01,13.85,4.11,16.03
0.10,1.41,0.01,16.57,1.98,20.28
0.05,1.3,0.02,16.83,2.36,15.97
0.01,1.19,0.03,15.37,2.78,6.08
-0.01,1.06,0.02,11.59,1.81,-1.37
0.00,0.93,0.02,8.02,1.3,-2.91
-0.01,0.87,0.04,5.21,0.02,-2.68
-0.01,0.79,0.04,3.69,-0.71,1.01
-0.01,0.71,0.04,1.63,-1.54,3.44
-0.03,0.63,0.08,1.63,-3.53,7.19
-0.06,0.55,0.08,0.92,-4.68,10.64
-0.09,0.46,0.07,0.5,-8.03,11.88
-0.09,0.38,0.13,-0.98,-12.99,13.19
-0.11,0.33,0.13,-3.81,-19.43,9.89
-0.10,0.32,0.11,-6.69,-22.9,11.07
-0.12,0.39,0.12,-9.49,-25.27,15.83
-0.11,0.48,0.11,-7.82,-22.4,9.43
-0.09,0.63,0.14,-6.69,-19,5.5
-0.03,0.86,0.16,-8.24,-11.72,-2.29
0.05,1.16,0.1,-7.69,-2.66,9.32
0.13,1.35,0.11,-7.08,15.7,12.98
0.20,1.49,0.09,-4.84,21.05,20.93
0.32,1.62,0.07,1.13,23.79,9.84
0.33,1.66,0.14,2.25,9.54,-4.59
0.31,1.7,0.28,-3.79,1.68,-24.64
0.28,1.71,0.33,-9.5,3.5,-33.71
0.21,1.57,0.3,-14.59,7.41,-23.55
0.17,1.51,0.28,-17.15,6.71,-0.16
0.08,1.39,0.24,-14.36,6.64,7.11
0.09,1.3,0.23,-7.53,-0.25,11.26
0.03,1.14,0.21,-0.99,-4.08,6
0.05,0.98,0.18,4.34,-6.94,-0.22
0.00,0.84,0.16,5.73,-6.49,-3.77
-0.02,0.67,0.16,4.69,-7.39,-9.77
-0.06,0.59,0.09,0.79,-3.16,-7.98
-0.04,0.49,0.09,-3.18,0.53,-3.87
-0.02,0.46,0.06,-6.89,5.11,4.13
-0.02,0.44,0.01,-5.63,5.76,9.5
0.00,0.4,0.04,-3.79,5.01,14.25
-0.03,0.39,0.01,-0.04,7.5,14.46
-0.05,0.4,0.04,4.11,10.86,13.64
-0.07,0.44,0,8.02,18.31,10.88
-0.09,0.51,0.01,8.8,24.51,3.95
-0.10,0.69,0.02,5.15,29.72,-3.56
-0.12,0.89,0,1.58,35.88,-14.67
-0.07,1.16,0.07,-3.38,36.19,-24.02
0.00,1.39,0.03,-8.29,35.99,-16.16
0.05,1.53,0.01,-12.76,35.13,-3.37
0.03,1.57,-0.02,-10.85,30.11,13.15
0.01,1.55,-0.05,-3.76,25.5,16.4
0.00,1.53,-0.04,3.25,18.22,6.13
0.04,1.55,0,5.24,11.15,-3.86
0.08,1.55,0,3.58,11.26,-8.58
0.11,1.46,0.03,3.02,14.18,2.54
0.11,1.41,0.03,2.48,16.44,11.06
0.10,1.34,0.02,3.71,17.34,10.91
0.06,1.25,0.01,6.9,17.57,7.61
0.04,1.15,0.01,9.67,17.38,2.31
0.00,1.04,0.01,10.37,16.4,-2.56
-0.01,0.94,0.03,9.66,13.64,-5.23
-0.01,0.84,0.04,7.65,10.06,-5.34
-0.01,0.74,0.05,5.09,7.08,-4.83
-0.03,0.65,0.06,2.76,4.99,-5.3
-0.04,0.59,0.07,1.11,3.99,-3.27
-0.06,0.51,0.08,-1.69,1.92,-3.53
-0.06,0.46,0.09,-4.4,0.08,-2.77
-0.05,0.43,0.12,-6.73,-4.66,-1.95
-0.07,0.43,0.06,-8.23,-10.08,0.36
-0.07,0.42,0.11,-8.73,-16.6,0.82
-0.05,0.49,0.13,-8.84,-21.55,7.35
-0.05,0.6,0.19,-6.69,-21.76,11.53
-0.08,0.73,0.16,-2.94,-19.99,2.76
-0.06,0.86,0.18,-2.24,-12.86,-4.61
-0.02,1.06,0.18,-2.73,-8.89,-10.41
0.02,1.3,0.18,-0.69,-10.4,-19.67
0.07,1.54,0.13,3.63,-1.3,-5.72
0.13,1.55,0.17,8.04,-3.82,-2.68
0.15,1.53,0.25,7.69,-13.96,-4.11
0.16,1.49,0.29,-0.03,-20.08,0.95
0.16,1.46,0.27,-7.04,-22.68,2.85
0.17,1.48,0.26,-11.04,-24.05,2.95
0.18,1.47,0.21,-11.77,-24.29,4.85
0.17,1.42,0.17,-10.47,-23.1,0.89
0.12,1.35,0.18,-8.3,-21.52,-3.89
0.10,1.29,0.15,-6.21,-18.06,-3.92
0.07,1.21,0.11,-4.44,-14.94,-3.69
0.04,1.11,0.1,-2.31,-12.06,-5.09
0.01,1,0.07,-0.89,-8.23,-6.4
0.00,0.86,0.07,-0.69,-5.18,-5.96
-0.04,0.77,0.05,-1.95,-1.44,-5.76
-0.04,0.68,0.04,-5.63,4.47,-3.63
-0.02,0.61,0.06,-7.84,10.03,0.76
-0.06,0.54,0,-8.89,15.82,4.08
-0.08,0.51,-0.02,-6.51,25.67,6.08
-0.11,0.42,-0.01,-4.14,31.21,7.08
-0.13,0.38,-0.03,-2.35,42.85,7.11
-0.11,0.37,0.01,0.09,52.5,8.77
-0.10,0.39,-0.01,2.59,60.11,10.69
-0.10,0.45,0.03,7.22,56.95,6.91
-0.09,0.58,0.01,8.98,47.8,-0.06
-0.04,0.78,0.05,9.12,34.59,-6.02
0.01,1.03,0.17,5.53,20.27,-6.56
0.02,1.27,0.17,-0.42,11.6,-3.63
0.09,1.45,0.16,-1.08,6.76,9.74
0.07,1.65,0.02,2.69,9.6,8.51
0.10,1.61,0.01,9.98,13.73,9.15
0.14,1.55,0.01,14.58,15.5,12.15
0.17,1.49,-0.01,13.89,14.76,15.18
0.17,1.42,-0.03,11.62,11.95,14.16
0.14,1.38,-0.06,7.68,9.98,5.64
0.14,1.4,-0.05,3.31,6.25,-1.04
0.13,1.38,-0.05,0.16,4.41,-7.29
0.11,1.31,0.04,-4.07,0.3,-11.5
